iteration,value,rtt_ms
1,true,115
2,false,119
3,true,119
4,false,125
5,true,114
6,false,115
7,true,123
8,false,138
9,true,110
10,false,126
11,true,121
12,false,102
13,true,199
14,false,145
15,true,122
16,false,120
17,true,122
18,false,120
19,true,122
20,false,113
21,true,112
22,false,116
23,true,125
24,false,102
25,true,129
26,false,353
27,true,99
28,false,107
29,true,158
30,false,91
31,true,119
32,false,131
33,true,111
34,false,116
35,true,116
36,false,119
37,true,123
38,false,114
39,true,117
40,false,122
41,true,127
42,false,112
43,true,133
44,false,106
45,true,125
46,false,143
47,true,84
48,false,121
49,true,125
50,false,127
51,true,101
52,false,124
53,true,122
54,false,143
55,true,101
56,false,115
57,true,130
58,false,105
59,true,125
60,false,139
61,true,87
62,false,118
63,true,127
64,false,112
65,true,114
66,false,117
67,true,118
68,false,120
69,true,124
70,false,111
71,true,125
72,false,123
73,true,126
74,false,97
75,true,119
76,false,116
77,true,131
78,false,107
79,true,125
80,false,182
81,true,154
82,false,112
83,true,120
84,false,124
85,true,125
86,false,117
87,true,124
88,false,116
89,true,128
90,false,107
91,true,112
92,false,123
93,true,118
94,false,124
95,true,126
96,false,101
97,true,120
98,false,119
99,true,118
100,false,121
101,true,138
102,false,110
103,true,116
104,false,120
105,true,119
106,false,121
107,true,120
108,false,117
109,true,121
110,false,121
111,true,126
112,false,120
113,true,107
114,false,123
115,true,110
116,false,118
117,true,110
118,false,118
119,true,120
120,false,114
121,true,116
122,false,114
123,true,122
124,false,115
125,true,111
126,false,117
127,true,119
128,false,122
129,true,116
130,false,119
131,true,122
132,false,124
133,true,115
134,false,126
135,true,131
136,false,100
137,true,116
138,false,117
139,true,118
140,false,124
141,true,140
142,false,260
143,true,67
144,false,113
145,true,121
146,false,132
147,true,113
148,false,111
149,true,136
150,false,133
151,true,84
152,false,120
153,true,113
154,false,116
155,true,120
156,false,121
157,true,127
158,false,125
159,true,118
160,false,118
161,true,122
162,false,121
163,true,123
164,false,134
165,true,110
166,false,117
167,true,138
168,false,93
169,true,127
170,false,111
171,true,137
172,false,113
173,true,117
174,false,118
175,true,191
176,false,157
177,true,114
178,false,118
179,true,119
180,false,132
181,true,107
182,false,120
183,true,143
184,false,101
185,true,118
186,false,120
187,true,126
188,false,117
189,true,119
190,false,125
191,true,114
192,false,120
193,true,121
194,false,123
195,true,124
196,false,119
197,true,114
198,false,120
199,true,114
200,false,123
201,true,109
202,false,125
203,true,126
204,false,114
205,true,118
206,false,127
207,true,125
208,false,123
209,true,126
210,false,124
211,true,112
212,false,116
213,true,123
214,false,123
215,true,115
216,false,121
217,true,120
218,false,129
219,true,112
220,false,114
221,true,116
222,false,116
223,true,121
224,false,120
225,true,121
226,false,123
227,true,112
228,false,118
229,true,117
230,false,126
231,true,149
232,false,92
233,true,113
234,false,118
235,true,125
236,false,109
237,true,111
238,false,112
239,true,118
240,false,119
241,true,119
242,false,114
243,true,115
244,false,123
245,true,119
246,false,121
247,true,120
248,false,123
249,true,123
250,false,124
251,true,116
252,false,138
253,true,93
254,false,113
255,true,114
256,false,120
257,true,121
258,false,124
259,true,121
260,false,132
261,true,102
262,false,124
263,true,125
264,false,121
265,true,125
266,false,127
267,true,124
268,false,115
269,true,118
270,false,125
271,true,113
272,false,123
273,true,113
274,false,115
275,true,114
276,false,118
277,true,129
278,false,112
279,true,123
280,false,112
281,true,125
282,false,139
283,true,93
284,false,111
285,true,114
286,false,126
287,true,114
288,false,116
289,true,116
290,false,155
291,true,86
292,false,117
293,true,133
294,false,115
295,true,112
296,false,126
297,true,109
298,false,114
299,true,117
300,false,111
