iteration,value,rtt_ms
1,true,736
2,false,441
3,true,735
4,false,412
5,true,449
6,false,413
7,true,416
8,false,2319
9,true,410
10,false,400
11,true,729
12,false,414
13,true,454
14,false,404
15,true,2137
16,false,446
17,true,449
18,false,414
19,true,725
20,false,450
21,true,410
22,false,3035
23,true,487
24,false,414
25,true,1667
26,false,414
27,true,454
28,false,403
29,true,729
30,false,416
31,true,449
32,false,445
33,true,798
34,false,437
35,true,449
36,false,401
37,true,451
38,false,400
39,true,441
40,false,411
41,true,412
42,false,492
43,true,486
44,false,1132
45,true,408
46,false,415
47,true,451
48,false,414
49,true,457
50,false,405
51,true,2557
52,false,453
53,true,416
54,false,453
55,true,809
56,false,402
57,true,2910
58,false,456
59,true,487
60,false,731
61,true,405
62,false,450
63,true,410
64,false,451
65,true,485
66,false,453
67,true,405
68,false,407
69,true,2266
70,false,448
71,true,412
72,false,416
73,true,454
74,false,735
75,true,401
76,false,457
77,true,417
78,false,405
79,true,3282
80,false,444
81,true,411
82,false,448
83,true,4169
84,false,457
85,true,449
86,false,416
87,true,411
88,false,444
89,true,410
90,false,446
91,true,457
92,false,822
93,true,414
94,false,410
95,true,450
96,false,740
97,true,416
98,false,403
99,true,445
100,false,414
101,true,405
102,false,448
103,true,412
104,false,450
105,true,416
106,false,407
107,true,455
108,false,412
109,true,730
110,false,456
111,true,6237
112,false,404
113,true,457
114,false,412
115,true,448
116,false,416
117,true,412
118,false,446
119,true,453
120,false,402
121,true,2079
122,false,TIMEOUT
123,true,6980
124,false,488
125,true,856
126,false,494
127,true,740
128,false,413
129,true,447
130,false,418
131,true,405
132,false,455
133,true,808
134,false,413
135,true,458
136,false,408
137,true,449
138,false,2687
139,true,413
140,false,418
141,true,736
142,false,450
143,true,726
144,false,736
145,true,411
146,false,442
147,true,2110
148,false,2477
149,true,456
150,false,407
151,true,449
152,false,444
153,true,493
154,false,442
155,true,407
156,false,443
157,true,421
158,false,2465
159,true,451
160,false,487
161,true,2025
162,false,456
163,true,2048
164,false,460
165,true,857
166,false,416
167,true,417
168,false,453
169,true,404
170,false,1049
171,true,407
172,false,446
173,true,2534
174,false,1985
175,true,415
176,false,442
177,true,412
178,false,456
179,true,407
180,false,442
181,true,410
182,false,1992
183,true,524
184,false,1958
185,true,409
186,false,3571
187,true,6009
188,false,537
189,true,495
190,false,403
191,true,449
192,false,401
193,true,734
194,false,447
195,true,411
196,false,451
197,true,410
198,false,454
199,true,483
200,false,457
201,true,413
202,false,415
203,true,2403
204,false,489
205,true,2544
206,false,785
207,true,2679
208,false,448
209,true,414
210,false,450
211,true,491
212,false,407
213,true,735
214,false,445
215,true,412
216,false,458
217,true,410
218,false,452
219,true,414
220,false,410
221,true,447
222,false,403
223,true,457
224,false,422
225,true,418
226,false,458
227,true,456
228,false,485
229,true,405
230,false,439
231,true,449
232,false,2032
233,true,457
234,false,406
235,true,407
236,false,445
237,true,414
238,false,418
239,true,456
240,false,2472
241,true,410
242,false,734
243,true,454
244,false,2384
245,true,494
246,false,740
247,true,407
248,false,453
249,true,421
250,false,413
251,true,453
252,false,406
253,true,444
254,false,411
255,true,450
256,false,416
257,true,414
258,false,453
259,true,402
260,false,449
261,true,408
262,false,408
263,true,443
264,false,425
265,true,407
266,false,463
267,true,404
268,false,414
269,true,449
270,false,412
271,true,417
272,false,454
273,true,1984
274,false,494
275,true,449
276,false,407
277,true,407
278,false,735
279,true,450
280,false,412
281,true,405
282,false,447
283,true,411
284,false,451
285,true,419
286,false,407
287,true,449
288,false,412
289,true,6111
290,false,486
291,true,2510
292,false,495
293,true,1021
294,false,4497
295,true,444
296,false,453
297,true,804
298,false,521
299,true,533
300,false,460
